Genotype;date;plant;nb_visible_leaves;nb_total_leaves;nb_missing_leaves;nb_leaf_present;leaf_area;total_leaf_area;nb_total_flowers;nb_stolons;nb_vegetative_bud;nb_initiated_bud;nb_floral_bud;nb_inflorescence;order_max;nb_ramifications;vid
Darselect;11/02/2015;1;14;15;0;14;102.53;1435.42;21;2;4;0;5;3;2;1;7441
Darselect;11/02/2015;2;11;11;0;11;96.7;1063.7;19;3;0;2;5;2;1;0;7515
Darselect;11/02/2015;3;16;21;0;16;114.59;1833.44;16;3;5;1;3;2;2;2;7579
Darselect;11/02/2015;4;15;15;0;15;71.04;1065.6;6;1;8;0;3;2;1;2;7651
Darselect;11/02/2015;5;17;17;0;17;95.3;1620.1;20;0;5;2;6;3;1;1;7729
Darselect;11/02/2015;6;12;12;0;12;67.96;815.52;11;1;5;1;3;2;1;1;7820
Darselect;11/02/2015;7;6;6;0;6;88.38;530.28;26;1;2;0;1;2;1;0;7888
Darselect;11/02/2015;8;12;12;0;12;103.48;1241.76;6;0;4;0;5;3;1;1;7924
Darselect;11/02/2015;9;14;16;0;14;92.52;1295.28;15;0;5;0;7;2;1;1;7995
Darselect;06/03/2015;1;17;17;0;17;102.53;1743.01;31;0;6;1;4;5;2;2;8073
Darselect;06/03/2015;2;10;10;0;10;0;0;24;1;3;1;2;3;2;0;8168
Darselect;06/03/2015;3;16;20;0;16;72.68;1162.88;28;2;7;2;3;4;3;1;8213
Darselect;06/03/2015;4;10;10;0;10;147.45;1474.5;25;0;3;0;5;3;2;0;8287
Darselect;06/03/2015;5;16;18;0;16;99.49;1591.84;25;1;8;0;4;5;3;2;8350
Darselect;06/03/2015;6;11;14;0;11;79.09;869.99;20;3;5;1;2;3;3;0;8435
Darselect;06/03/2015;7;8;8;0;8;55.17;441.36;18;0;2;2;2;1;1;0;8495
Darselect;06/03/2015;8;24;26;0;24;137.45;3298.8;35;2;7;2;9;5;3;2;8534
Darselect;06/03/2015;9;10;10;0;10;0;0;31;0;4;0;4;3;2;0;8669
Darselect;03/04/2015;1;27;31;0;27;177.57;4794.39;17;3;13;2;6;6;2;3;8719
Darselect;03/04/2015;2;22;24;0;22;175.1;3852.2;34;5;8;1;4;6;3;2;8873
Darselect;03/04/2015;3;13;14;0;13;139.99;1819.87;26;1;2;2;4;3;3;0;8973
Darselect;03/04/2015;4;24;28;0;24;233.7;5608.8;46;3;12;0;5;7;3;2;9035
Darselect;03/04/2015;5;25;29;0;25;195.28;4882;39;0;7;2;7;6;3;2;9149
Darselect;03/04/2015;6;26;28;0;26;195.45;5081.7;51;0;6;0;7;8;3;3;9269
Darselect;03/04/2015;7;17;20;0;17;120.94;2055.98;27;0;6;1;4;5;3;1;9390
Darselect;03/04/2015;8;15;16;0;15;205.66;3084.9;28;0;2;1;8;4;2;1;9471
